Indicator Name,Indicator Code,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Population growth (annual %),SP.POP.GROW,Ireland,IRL,0.232527187,0.213980949,0.033662258,0.009392097,0.063373589,0.114908848,0.048425395,-0.012494631,0.017960542,-0.185226486,-0.159710676,-0.144271883,-0.132694222,-0.106124994,-0.051137415,-0.081874296,-0.126880068,-0.140464978,-0.294194618
Population growth (annual %),SP.POP.GROW,Japan,JPN,0.539290805,0.586532692,0.59093094,0.681072964,0.805392739,1.034734515,1.246333015,1.261127289,1.24566618,1.297189391,1.313440989,1.209141589,1.127736677,0.995084737,0.880969815,0.807673182,0.660090844,0.675061373,0.588757324
Population growth (annual %),SP.POP.GROW,Norway,NOR,-0.802765711,-0.812278097,-1.122991275,-1.628401126,-1.596378318,-1.187947957,-1.028483175,-1.110345754,-2.09694342,-2.258463899,-1.341201988,-1.012007368,-0.859827343,-0.940753797,-1.270694533,-1.398322201,-0.954190459,-0.264704355,0.026766758
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,1.137538736,1.150192733,1.069198122,1.217290731,1.349450831,1.824996795,2.003911405,2.060833163,1.555706262,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.653390535,1.502992982,1.485208447,1.23570108
Population growth (annual %),SP.POP.GROW,Australia,AUS,0.168128319,0.055363304,-0.021709728,-0.056778262,-0.112797498,-0.133718573,-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644,0.807218539,0.37372456,0.300526702,0.225519874,0.081693159
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.895723403,0.859506057,0.821309424,-0.056778262,0.753994284,0.761916078,0.747623811,0.718381365,0.671403304,0.645857451,0.644344613,0.607746277,0.548005165,0.475496517,0.443771939,0.41152598,0.323321355,0.252691237,0.235182865
Population growth (annual %),SP.POP.GROW,Thailand,THA,0.148916429,0.444507313,0.647182705,-0.056778262,0.300559689,0.504933687,0.662469253,0.45561345,0.307591222,0.171978291,0.26954124,1.159251117,0.917504096,-0.096376133,-0.169884073,-0.149861117,-0.19006364,-1.153028424,-0.487095092
Population growth (annual %),SP.POP.GROW,Italy,ITA,0.793958951,0.843957574,0.844925912,-0.056778262,0.769551641,0.738871905,0.7128032,0.695753117,0.684559603,0.67268927,0.12984681,0.780301448,0.933207943,0.919811027,1.104983619,1.130220486,1.048392958,0.611875946,0.53062656
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,2.150168065,2.260009348,2.494625425,-0.056778262,6.757909009,6.343808711,2.432776564,2.20117695,2.199151314,2.545810456,1.422787817,6.481928642,11.79401566,9.219917888,4.835850135,2.485009342,2.365102658,2.257509754,2.127362818
Population growth (annual %),SP.POP.GROW,Jordan,JOR,1.52548,1.23478,1.451587,-0.056778262,1.51254,1.561587,1.270618074,1.249484631,1.041558058,1.111878943,1.061819329,1.149879758,1.220103973,1.138337152,1.092031174,0.933155889,0.736633975,0.713313668,0.730676195
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,0.638291666,0.471814399,0.347475412,-0.056778262,0.160613669,0.217521601,0.389292461,0.514284545,0.512923101,0.466428782,0.370055035,0.294820793,0.359828173,0.443220089,0.53217888,0.591203366,0.583933409,0.655071575,0.55554079
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.947888189,0.867299091,0.930473825,-0.056778262,0.973418076,0.95751104,0.963907968,0.906830276,0.860906958,0.75429192,0.771504745,0.731728411,0.763365512,0.739847163,0.768191349,0.691849711,0.618128536,0.557163666,0.985555014
